"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"180",36,2006-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"181",37,2007-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"182",37,2007-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"183",37,2007-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"184",37,2007-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"185",37,2007-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"186",38,2007-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"187",38,2007-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"188",38,2007-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"189",38,2007-02-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"190",38,2007-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"191",39,2007-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"192",39,2007-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"193",39,2007-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"194",39,2007-03-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"195",39,2007-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"196",40,2007-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"197",40,2007-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"198",40,2007-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"199",40,2007-04-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"200",40,2007-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"201",41,2007-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"202",41,2007-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"203",41,2007-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"204",41,2007-05-01,"floyd",6,"Grand Rapids","USA",193006,42.96,-85.66,0
"205",41,2007-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"206",42,2007-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"207",42,2007-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"208",42,2007-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"209",42,2007-06-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"210",42,2007-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"211",43,2007-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"212",43,2007-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"213",43,2007-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
